success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,plugin_version,time_elapsed,subject_id,study_id,session_id,rt,stimulus,response,response_1,response_2,response_3,response_4,response_5,response_6,response_7,response_8,response_9,response_10,correct,id,source_file
True,False,[],[],[],preload,0,2.1.0,311,6580563ab7a54f1d93ec09f3,68ffea0000c1db3710ce21b4,69000634e7ef9d3f0df5fece,,,,,,,,,,,,,,,,2cvamfg0kc.csv
,,,,,html-button-response,1,2.1.0,67020,6580563ab7a54f1d93ec09f3,68ffea0000c1db3710ce21b4,69000634e7ef9d3f0df5fece,66707,"
        <div style=""font-size: 16px; text-align: center; margin-top: 25px; margin-right: 100px; margin-left: 100px; margin-bottom: 25px;"">
            <img src=""./image/SUSig_2color_Stree_Left.png"" alt=""Stanford Logo"" style=""max-width: 500px; margin-bottom: 20px;"">
            <h3>DESCRIPTION</h3>
            <p>You are invited to participate in a research study. Its general purpose is to understand how people perceive spoken language. We are interested in how people make use of varying properties of language to infer social information about a speaker. In this study, you will hear spoken sentences, and you will be asked to describe the speaker of each sentence in your own words. Following this, you will be asked to complete an optional demographic survey. Participation in this research is voluntary, and you are free to withdraw your consent at any time.</p>
            <h3>TIME INVOLVEMENT</h3> 
            <p>Your participation will take approximately 10 to 15 minutes.</p>
            <h3>PAYMENT</h3> 
            <p>You will be paid at the posted rate.</p>
            <h3>PRIVACY AND CONFIDENTIALITY</h3> 
            <p>The risks associated with this study are minimal. This judgment is based on a large body of experience with the same or similar procedures with people of similar ages, sex, origins, etc. Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. Your individual privacy will be maintained during the research and in all published and written data resulting from the study.</p>
            <h3>CONTACT INFORMATION</h3>
            <p>If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director, Grace Brown, at (616) 498-8188. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306 USA.</p> 
            <h3>WAIVER OF DOCUMENTATION</h3>
            <p>If you agree to participate in this research, please click the 'Continue' button.</p>
        </div>",0,,,,,,,,,,,,,2cvamfg0kc.csv
,,,,,html-button-response,2,2.1.0,102169,6580563ab7a54f1d93ec09f3,68ffea0000c1db3710ce21b4,69000634e7ef9d3f0df5fece,35147,"
    <div style=""font-size: 16px; text-align: center; margin-top: 25px; margin-right: 100px; margin-left: 100px; margin-bottom: 25px;"">
        <p>This study requires you to listen to audio clips. To ensure you can adequately hear the audio presented in this study, the next page will have an audio attention check. Please wear headphones, and be prepared to adjust the volume on your device if necessary.<br><br>When you are ready to begin the audio attention check, click 'Start'.</p>
    </div>",0,,,,,,,,,,,,,2cvamfg0kc.csv
,,,,,audio-button-response,3,2.1.0,107055,6580563ab7a54f1d93ec09f3,68ffea0000c1db3710ce21b4,69000634e7ef9d3f0df5fece,4883,audio/gift.wav,2,,,,,,,,,,,True,,2cvamfg0kc.csv
,,,,,html-button-response,4,2.1.0,109051,6580563ab7a54f1d93ec09f3,68ffea0000c1db3710ce21b4,69000634e7ef9d3f0df5fece,1995,<p>Correct! You are ready to begin the study.</p>,0,,,,,,,,,,,,,2cvamfg0kc.csv
,,,,,html-button-response,5,2.1.0,177010,6580563ab7a54f1d93ec09f3,68ffea0000c1db3710ce21b4,69000634e7ef9d3f0df5fece,67957,"<p>In this study, you are going to hear multiple people produce the same sentence. In a given trial, you will hear a speaker, and on a separate page, you will be prompted to provide a short description of that speaker in an empty textbox. You do not have to provide your response in complete sentences. You may list words or phrases, separated by commas, if you prefer to do so. You may take as long as you need to respond, but you will only be able to listen to each person once. After you provide a description of the speaker, you may click ‘Continue’ to advance to the next trial. You will not be able to return a trial after completing it.<br><br>If you understand the instructions and are ready to hear the first speaker, click ‘Continue’.</p>",0,,,,,,,,,,,,,2cvamfg0kc.csv
,,,,,audio-keyboard-response,6,2.1.0,179159,6580563ab7a54f1d93ec09f3,68ffea0000c1db3710ce21b4,69000634e7ef9d3f0df5fece,,audio/573_705_B4.wav,,,,,,,,,,,,,573,2cvamfg0kc.csv
,,,,,survey-text,7,2.1.0,267389,6580563ab7a54f1d93ec09f3,68ffea0000c1db3710ce21b4,69000634e7ef9d3f0df5fece,88227,,"{""Response"":""Tour guide, helpful, leader, expert, knowledgeable""}",tour guide,helpful,leader,expert,knowledgeable,,,,,,,,2cvamfg0kc.csv
,,,,,audio-keyboard-response,8,2.1.0,270158,6580563ab7a54f1d93ec09f3,68ffea0000c1db3710ce21b4,69000634e7ef9d3f0df5fece,,audio/752_705_B4.wav,,,,,,,,,,,,,752,2cvamfg0kc.csv
,,,,,survey-text,9,2.1.0,302722,6580563ab7a54f1d93ec09f3,68ffea0000c1db3710ce21b4,69000634e7ef9d3f0df5fece,32563,,"{""Response"":""Nice, intelligent, leader, feminine, snow expert""}",nice,intelligent,leader,feminine,snow expert,,,,,,,,2cvamfg0kc.csv
